,"('U', '[m+1 s-1]', '[R350-A]')","('V', '[m+1 s-1]', '[R350-A]')","('W', '[m+1 s-1]', '[R350-A]')","('T_SONIC', '[K]', '[R350-A]')","('INC_X', '[deg]', '[R350-A]')","('INC_Y', '[deg]', '[R350-A]')","('DATA_SIZE', '[Bytes]', '[IRGA75-A]')","('STATUS_CODE', '[status_code_irga]', '[IRGA75-A]')","('GA_DIAG_CODE', '[bit_map]', '[IRGA75-A]')","('AGC', '[%]', '[IRGA75-A]')","('H2O_CONC', '[mmol+1 m-3]', '[IRGA75-A]')","('CO2_CONC', '[mmol+1 m-3]', '[IRGA75-A]')","('T_BOX', '[degC]', '[IRGA75-A]')","('PRESS_BOX', '[hPa]', '[IRGA75-A]')","('COOLER_V', '[V]', '[IRGA75-A]')","('DATA_SIZE', '[Bytes]', '[QCL-A2]')","('STATUS_CODE', '[bit_map]', '[QCL-A2]')","('STATUS', '[0=OK]', '[QCL-A2]')","('CH4_DRY', '[nmol+1 mol-1]', '[QCL-A2]')","('N2O_DRY', '[nmol+1 mol-1]', '[QCL-A2]')","('CH4', '[nmol+1 mol-1]', '[QCL-A2]')","('T_CELL', '[K]', '[QCL-A2]')","('PRESS_CELL', '[Torr]', '[QCL-A2]')"
,-0.5,0.29,0.04,284.56,0.0,1.86,16.0,0,255.0,50.0,243.509,5.902,-1.8400000000000034,971.0,1.1375,2.0,104.0,-9999,-9999,-9999,-9999,-9999,-9999
,-0.5,0.32,0.03,284.56,0.0,1.86,16.0,0,255.0,50.0,243.577,5.929,-1.8400000000000034,971.0,1.1365,2.0,104.0,-9999,-9999,-9999,-9999,-9999,-9999
0,-0.49,0.29,0.03,284.58,0.0,1.86,16.0,0,255.0,50.0,243.03,5.9696,-1.8499999999999943,971.0,1.1365,2.0,104.0,,,,,,
1,-0.5,0.27,0.04,284.57,0.0,1.86,16.0,0,255.0,50.0,243.48,5.984,-1.8499999999999943,971.0,1.1375,2.0,104.0,,,,,,
2,-0.49,0.26,0.03,284.58,0.0,1.86,16.0,0,255.0,50.0,243.94799999999998,6.0048,-1.8700000000000043,971.0,1.1385,2.0,104.0,,,,,,
3,-0.5,0.27,0.04,284.57,0.0,1.86,16.0,0,255.0,50.0,243.793,6.0093,-1.8700000000000043,971.0,1.138,2.0,104.0,,,,,,
4,-0.49,0.26,0.06,284.56,0.0,1.86,16.0,0,255.0,50.0,243.977,5.9851,-1.8700000000000043,971.0,1.1375,2.0,104.0,,,,,,
5,-0.51,0.27,0.08,284.56,0.0,1.86,16.0,0,255.0,50.0,244.525,5.9670000000000005,-1.8499999999999943,971.0,1.137,2.0,104.0,,,,,,
6,-0.48,0.25,0.09,284.56,0.0,1.86,16.0,0,255.0,50.0,244.338,5.959,-1.8400000000000036,971.0,1.138,2.0,104.0,,,,,,
7,-0.51,0.28,0.08,284.54,0.0,1.86,16.0,0,255.0,50.0,244.236,5.9803,-1.8599999999999997,971.0,1.138,2.0,104.0,,,,,,
